lsanr,x,y,standort,baulast,bezirk,blindens,bemerkung,locid,mapem
0720 (020),23666858.203045,56386718.704257,Grengeler Mauspfad / Kennedystraße Nord,StrNRW/Stadt Köln,Porz,nein,---,nein,nein
0721 (021),23667137.702619,56385250.498659,Grengeler Mauspfad / Kennedystraße Süd,StrNRW/Stadt Köln,Porz,nein,---,nein,nein
0722 (022),23660544.053958,56358449.900927,Heidestraße / BAB59,StrNRW,Porz,nein,---,nein,nein
0723 (023),23670033.138271,56423306.750865,Rösrather Straße / Bensberger Straße,StrNRW/Stadt Köln,Porz,nein,---,nein,nein
0727 (027),23594361.96181,56419191.752478,Siegburger Straße / Am Weizenacker / Poller Damm,StrNRW,Porz,nein,---,nein,nein
0728 (028),23595347.479154,56418057.990492,Siegburger Straße / BAB4 Nord,StrNRW,Porz,nein,---,nein,nein
0729 (029),23596899.730196,56416490.924542,Siegburger Straße / BAB4 Süd,StrNRW,Porz,nein,---,nein,nein
0730 (030),23602073.641428,56413704.890677,Kölner Straße / Porzer Ringstraße,StrNRW/Stadt Köln,Porz,nein,---,nein,nein
0732 (032),23606740.193777,56411655.943943,Kölner Straße / Mudra-Kaserne,StrNRW,Porz,nein,---,nein,nein
0748 (035),23651380.540362,56377718.420137,Frankfurter Straße / Friedensstraße / Friedrich-Hirsch-Straße,StrNRW,Porz,nein,---,nein,nein
0824 (024),23659878.236244,56437349.796529,Lützerathstraße / Rather Mauspfad,StrNRW/Stadt Köln,Kalk,ja - akustisch+taktil,---,nein,nein
0880 (026),23663937.474986,56457904.654687,Olpener Straße / BAB4 Refrath,StrNRW,Kalk,nein,---,nein,nein
0931 (501),23646578.934169,56476504.691844,Dellbrücker Mauspfad / Friedhof-Ost,StrNRW,Mülheim,nein,---,nein,nein
0970 (025),23629745.630217,56508495.721703,Dünnwalder Mauspfad / Kalkweg / Am Wildpark,StrNRW,Mülheim,nein,---,nein,nein
0981 (001),23592199.050033,56529852.081403,Düsseldorfer Straße / Carl Duisberg Bad / Otto-Bayer-Straße,StrNRW,Mülheim,nein,---,nein,nein
0982 (002),23592746.343058,56525969.402666,Düsseldorfer Straße / Pförtner Flittard O. / Bayer-Nord,StrNRW,Mülheim,ja - taktil,---,nein,nein
0983 (003),23593297.975205,56522438.767335,Düsseldorfer Straße / Buschweg / Bayer-Süd,StrNRW,Mülheim,nein,---,nein,nein
0984 (004),23594411.658982,56515559.191159,Düsseldorfer Straße / Roggendorfstraße / Grüner Kuhweg,StrNRW,Mülheim,nein,---,nein,nein
0985 (005),23595967.568448,56505581.70383,Düsseldorfer Straße / Stammheimer Ring / Dünnwalder Kommunalweg,StrNRW,Mülheim,nein,---,nein,nein
